0 0.1
0.254 0.0949032
0.508 0.0798727
0.762 0.0564538
1.016 0.0270728
1.27 -0.00521455
1.524 -0.0370407
1.778 -0.0650775
2.032 -0.0863844
2.286 -0.0987167
2.54 -0.100762
2.794 -0.0922793
3.048 -0.0741285
3.302 -0.0481818
3.556 -0.017131
3.81 0.0157912
4.064 0.0471482
4.318 0.0736581
4.572 0.0925372
4.826 0.101792
5.08 0.10043
5.334 0.088567
5.588 0.0674145
5.842 0.03916
6.096 0.00673867
6.35 -0.0264713
6.604 -0.0570005
6.858 -0.0816505
7.112 -0.0978294
7.366 -0.103824
7.62 -0.098981
7.874 -0.0837787
8.128 -0.0597793
8.382 -0.0294686
8.636 0.00400125
8.89 0.0371398
9.144 0.0664821
9.398 0.088951
9.652 0.10218
9.906 0.104762
10.16 0.0964
10.414 0.077939
10.668 0.051283
10.922 0.0191969
11.176 -0.0149792
11.43 -0.0476783
11.684 -0.0754784
11.938 -0.0954607
12.192 -0.105516
12.446 -0.104568
12.7 -0.0926861
