0 0
0.254 -0.040132
0.508 -0.0761731
0.762 -0.104345
1.016 -0.121683
1.27 -0.126346
1.524 -0.117814
1.778 -0.0969439
2.032 -0.065886
2.286 -0.0278602
2.54 0.0131768
2.794 0.0529429
3.048 0.087278
3.302 0.112579
3.556 0.126177
3.81 0.126621
4.064 0.113831
4.318 0.0891073
4.572 0.0550053
4.826 0.0150648
5.08 -0.0265543
5.334 -0.0655056
5.588 -0.0977106
5.842 -0.119785
6.096 -0.129396
6.35 -0.125505
6.604 -0.108485
6.858 -0.0800804
7.112 -0.0432309
7.366 -0.00176663
7.62 0.03999
7.874 0.0776749
8.128 0.107338
8.382 0.125858
8.636 0.13127
8.89 0.122973
9.144 0.101801
9.398 0.0699315
9.652 0.0306695
9.906 -0.0119005
10.16 -0.0533371
10.414 -0.0893059
10.668 -0.116033
10.922 -0.1307
11.176 -0.131742
11.43 -0.119016
11.684 -0.093816
11.938 -0.0587434
12.192 -0.0174391
12.446 0.0257954
12.7 0.0664458
