0 -0.158
0.254 -0.149947
0.508 -0.126199
0.762 -0.089197
1.016 -0.042775
1.27 0.00823899
1.524 0.0585243
1.778 0.102822
2.032 0.136487
2.286 0.155972
2.54 0.159204
2.794 0.145801
3.048 0.117123
3.302 0.0761272
3.556 0.027067
3.81 -0.0249501
4.064 -0.0744941
4.318 -0.11638
4.572 -0.146209
4.826 -0.160832
5.08 -0.15868
5.334 -0.139936
5.588 -0.106515
5.842 -0.0618729
6.096 -0.0106471
6.35 0.0418247
6.604 0.0900608
6.858 0.129008
7.112 0.15457
7.366 0.164042
7.62 0.15639
7.874 0.13237
8.128 0.0944512
8.382 0.0465604
8.636 -0.00632197
8.89 -0.0586809
9.144 -0.105042
9.398 -0.140543
9.652 -0.161444
9.906 -0.165524
10.16 -0.152312
10.414 -0.123144
10.668 -0.0810271
10.922 -0.0303311
11.176 0.0236672
11.43 0.0753318
11.684 0.119256
11.938 0.150828
12.192 0.166715
12.446 0.165217
12.7 0.146444
